timestamp,arming_state,nav_state,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,stage,trajectory_type,controller_mode,position_error_xy,position_error_3d
1782792484783938,-1,-1,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,nan,nan
1782792484833852,-1,-1,-0.0010484346,-0.024725765,0.0054715425,-0.011839221,-0.00853053,-0.006677828,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.024747982502539668,2.00562413516075
1782792484883962,1,4,-2.6913642e-07,-0.024223853,0.0039053857,-0.010899165,-0.0078002615,-0.0071824156,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.024223852677549902,2.004051753481817
1782792484933862,1,4,0.0010727318,-0.023787813,0.002530545,-0.009900828,-0.0071534617,-0.007708226,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.023811989347296524,2.002672079362594
1782792484983889,1,4,0.0023116777,-0.023309145,0.0012021959,-0.008549068,-0.006351742,-0.008109644,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02342349493293434,2.00133922561466
1782792485033967,1,4,0.0036074987,-0.022847598,-1.1175871e-05,-0.007517933,-0.0056454674,-0.008597087,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.023130647049950204,2.0001225433954373
1782792485083973,1,4,0.005135884,-0.022395121,-0.0011742115,-0.006278757,-0.005138936,-0.008930855,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.022976482459881913,1.998957839284587
1782792485133861,1,4,0.0064448803,-0.022002224,-0.0019688904,-0.0052953474,-0.0046376423,-0.009124454,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.022926716475959903,1.9981626773511965
1782792485184050,1,4,0.00778072,-0.021617979,-0.0027101636,-0.004355122,-0.0041417214,-0.009434275,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02297556536590035,1.9974220469784278
1782792485233878,1,4,0.009045423,-0.021329882,-0.0034264028,-0.0034184821,-0.0037468327,-0.009620521,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.023168589515888502,1.9967079486729402
1782792485283960,1,4,0.010389018,-0.021124795,-0.0041468143,-0.0023904915,-0.0034263055,-0.009865696,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02354121234148237,1.9959919823311598
1782792485333934,1,4,0.011640703,-0.021035014,-0.0048440397,-0.0016219658,-0.0032107092,-0.010055477,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.024041167651935494,1.9953007326548322
1782792485383939,1,4,0.012790086,-0.020985683,-0.005574107,-0.00087740226,-0.0030785687,-0.010283113,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02457610949266076,1.9945772684946872
1782792485433851,1,4,0.013782497,-0.02095032,-0.006419003,-7.345778e-05,-0.0027178382,-0.010501384,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.025077342837456752,1.9937388046093825
1782792485483858,1,4,0.014684954,-0.020931715,-0.007492602,0.00044308786,-0.0026618359,-0.0108390665,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02556921092773073,1.992671473937087
1782792485533836,1,4,0.015208375,-0.020918999,-0.008303314,0.0007691807,-0.0025795973,-0.011016745,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02586308481510282,1.9918646457332378
1782792485583995,1,4,0.015560507,-0.020936271,-0.008984506,0.0007807473,-0.0024745,-0.011038242,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.026085568218924812,1.9911863317087173
1782792485633857,1,4,0.015765594,-0.020899547,-0.009546608,0.0008511254,-0.0022993044,-0.011046232,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.026179095329143278,1.9906255245956617
1782792485684093,1,4,0.015997088,-0.020784361,-0.010061353,0.0007219821,-0.0019715524,-0.011266176,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02622778120354164,1.990111462332531
1782792485733845,1,4,0.016104322,-0.020618422,-0.010448426,0.00053277455,-0.0017565606,-0.011300836,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.026162349689856534,1.9897235667819893
1782792485783931,1,4,0.015942013,-0.020489065,-0.010730386,0.0002433725,-0.0018288147,-0.011351785,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02596053820421216,1.9894390220299512
1782792485833862,1,4,0.015425159,-0.020408986,-0.010843784,-0.00035644544,-0.0017898163,-0.0113658905,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02558245999240105,1.9893207343463601
1782792485883912,1,4,0.014508283,-0.020309558,-0.010956883,-0.0012638043,-0.0016170532,-0.011446861,0.0,0.0,-2.0,0.0,0.0,0.0,warmup,square,smooth,0.02495933537274099,1.9891997428587045
